experiment_id	assumption_changed	old_value	new_value	score	delta	kept	margin_pct	retention_60d	utilization	attach_rate	weeks_to_15	break_even	final_customers
1	byoc_activation_rate	0.3000	0.3105	-130.10	139.87	YES	-114.5	100.0	23.8	30.0	12	never	36
2	max_drive_minutes_between_stops	15.0000	15.0000	-130.10	0.00	no	-114.5	100.0	23.8	30.0	12	never	36
3	second_service_attach_30d	0.1000	0.2398	-142.05	-11.95	no	-115.0	100.0	23.9	30.0	12	never	36
4	home_ownership_rate	0.6500	0.6188	-251.14	-121.04	no	-117.7	100.0	22.5	30.0	12	never	33
5	provider_payout_per_job_cents	4500.0000	4430.0000	-69.63	60.47	YES	-112.5	100.0	23.8	30.0	12	never	36
6	second_service_attach_30d	0.1000	0.1029	-69.63	0.00	no	-112.5	100.0	23.8	30.0	12	never	36
7	referral_rate_per_customer_per_month	0.0500	0.0516	-69.63	0.00	no	-112.5	100.0	23.8	30.0	12	never	36
8	second_service_attach_30d	0.1000	0.1081	-69.63	0.00	no	-112.5	100.0	23.8	30.0	12	never	36
9	referral_credit_cents	3000.0000	2829.0000	-69.63	0.00	no	-112.5	100.0	23.8	30.0	12	never	36
10	pause_rate_instead_of_cancel	0.4000	0.4002	-69.63	0.00	no	-112.5	100.0	23.8	30.0	12	never	36
11	provider_working_days_per_week	5.0000	5.0000	-69.63	0.00	no	-112.5	100.0	23.8	30.0	12	never	36
12	home_ownership_rate	0.6500	0.6726	-69.63	0.00	no	-112.5	100.0	23.8	30.0	12	never	36
13	plan_mix_plus	0.5000	0.5129	6.98	76.61	YES	-110.0	100.0	23.8	30.0	12	never	36
14	byoc_invite_send_rate	0.6000	0.5525	-131.42	-138.40	no	-113.9	100.0	22.8	30.0	12	never	35
15	second_service_attach_30d	0.1000	0.1069	6.98	0.00	no	-110.0	100.0	23.8	30.0	12	never	36
16	plan_mix_premium	0.2000	0.2075	79.67	72.69	YES	-107.6	100.0	23.8	30.0	12	never	36
17	plan_mix_plus	0.5129	0.5277	163.38	83.70	YES	-104.8	100.0	23.8	30.0	12	never	36
18	referral_credit_cents	3000.0000	2908.0000	163.38	0.00	no	-104.8	100.0	23.8	30.0	12	never	36
19	monthly_ops_overhead_cents	200000.0000	184852.0000	305.46	142.09	YES	-100.0	100.0	23.8	30.0	12	never	36
20	byoc_activation_rate	0.3105	0.1883	-655.38	-960.84	no	-125.1	100.0	19.3	30.0	24	never	32
21	min_customers_for_viability	15.0000	16.0000	305.46	0.00	no	-100.0	100.0	23.8	30.0	12	never	36
22	byoc_activation_rate	0.3105	0.3102	305.46	0.00	no	-100.0	100.0	23.8	30.0	12	never	36
23	byoc_bonus_duration_weeks	12.0000	11.0000	305.46	0.00	no	-100.0	100.0	23.8	30.0	12	never	36
24	monthly_organic_growth_rate	0.0200	0.0180	144.49	-160.97	no	-104.2	100.0	22.0	30.0	12	never	32
25	cac_per_customer_cents	5000.0000	4935.0000	305.46	0.00	no	-100.0	100.0	23.8	30.0	12	never	36
26	pause_rate_instead_of_cancel	0.4000	0.3845	305.46	0.00	no	-100.0	100.0	23.8	30.0	12	never	36
27	monthly_tech_overhead_cents	50000.0000	51245.0000	293.79	-11.68	no	-100.4	100.0	23.8	30.0	12	never	36
28	cac_per_customer_cents	5000.0000	5186.0000	305.46	0.00	no	-100.0	100.0	23.8	30.0	12	never	36
29	premium_price_cents	24900.0000	26198.0000	402.39	96.93	YES	-96.8	100.0	23.8	30.0	12	never	36
30	month_1_churn_rate	0.1500	0.1628	402.39	0.00	no	-96.8	100.0	23.8	30.0	12	never	36
31	providers_at_launch	3.0000	3.0000	402.39	0.00	no	-96.8	100.0	23.8	30.0	12	never	36
32	max_drive_minutes_between_stops	15.0000	21.0000	402.39	0.00	no	-96.8	100.0	23.8	30.0	12	never	36
33	essential_price_cents	9900.0000	10511.0000	466.59	64.20	YES	-94.7	100.0	23.8	30.0	12	never	36
34	plus_price_cents	14900.0000	16002.0000	661.33	194.73	YES	-88.2	100.0	23.8	30.0	12	never	36
35	steady_state_monthly_churn	0.0400	0.0419	661.33	0.00	no	-88.2	100.0	23.8	30.0	12	never	36
36	provider_service_minutes_per_stop	45.0000	45.0000	661.33	0.00	no	-88.2	100.0	23.8	30.0	12	never	36
37	max_homes_per_day	8.0000	10.0000	661.33	0.00	no	-88.2	100.0	23.8	30.0	12	never	36
38	provider_service_minutes_per_stop	45.0000	50.0000	661.33	0.00	no	-88.2	100.0	23.8	30.0	12	never	36
39	plan_mix_premium	0.2075	0.2081	666.41	5.08	YES	-88.0	100.0	23.8	30.0	12	never	36
40	max_drive_minutes_between_stops	15.0000	14.0000	666.41	0.00	no	-88.0	100.0	23.8	30.0	12	never	36
41	home_ownership_rate	0.6500	0.7362	752.96	86.55	YES	-86.0	100.0	25.1	30.0	12	never	39
42	plan_mix_essential	0.3000	0.4274	1150.48	397.52	YES	-72.7	100.0	25.1	30.0	12	never	39
43	provider_drive_minutes_per_stop	8.0000	8.0000	1150.48	0.00	no	-72.7	100.0	25.1	30.0	12	never	39
44	max_homes_per_day	8.0000	7.0000	1150.48	0.00	no	-72.7	100.0	25.1	30.0	12	never	39
45	premium_price_cents	26198.0000	27459.0000	1221.83	71.35	YES	-70.3	100.0	25.1	30.0	12	never	39
46	byoc_activation_rate	0.3105	0.2819	1113.92	-107.91	no	-73.2	100.0	24.0	30.0	12	never	38
47	second_service_attach_30d	0.1000	0.0918	1221.83	0.00	no	-70.3	100.0	25.1	30.0	12	never	39
48	monthly_tech_overhead_cents	50000.0000	45846.0000	1254.39	32.56	YES	-69.2	100.0	25.1	30.0	12	never	39
49	max_homes_per_day	8.0000	8.0000	1254.39	0.00	no	-69.2	100.0	25.1	30.0	12	never	39
50	income_qualifying_rate	0.4000	0.3822	1231.27	-23.12	no	-69.7	100.0	24.6	30.0	12	never	38
